male_ring,female_ring,colony,pair_ID,cycle_pair,year,nest,chick_sur,season_outcome,ulti_outcome,missed_seasons,male_next_season_sur,female_next_season_sur,male_pers,female_pers,absol
680901,6161667,grumant,680901_6161667,2010_680901_6161667,2010,H#0003,0,0,0,0,1,1,NA,2.09039202,NA
680901,6161667,grumant,680901_6161667,2011_680901_6161667,2011,H#0002,1,0,0,0,0,0,NA,2.09039202,NA
680901,6161667,grumant,680901_6161667,2012_680901_6161667,2012,H#0003,0,0,0,0,0,0,NA,2.09039202,NA
680901,6161667,grumant,680901_6161667,2013_680901_6161667,2013,H#0003,0,1,1,0,NA,0,NA,2.09039202,NA
680905,6177225,grumant,680905_6177225,2010_680905_6177225,2010,I#0004,1,NA,1,1,NA,NA,NA,NA,NA
680905,6126202,grumant,680905_6126202,2012_680905_6126202,2012,I#0004,0,NA,1,1,NA,NA,NA,NA,NA
680905,6126047,grumant,680905_6126047,2014_680905_6126047,2014,I#0004,0,NA,NA,NA,NA,NA,NA,NA,NA
680910,6162462,grumant,680910_6162462,2012_680910_6162462,2012,L#0005,1,NA,1,1,NA,NA,NA,NA,NA
680910,6126233,grumant,680910_6126233,2014_680910_6126233,2014,L#0005,0,0,0,0,1,1,NA,1.23282592,NA
680910,6126233,grumant,680910_6126233,2015_680910_6126233,2015,L#0005,1,1,1,0,NA,0,NA,1.23282592,NA
680934,680939,grumant,680934_680939,2010_680934_680939,2010,K#0002,0,0,0,0,1,1,NA,0.023294601,NA
680934,680939,grumant,680934_680939,2011_680934_680939,2011,K#0002,1,NA,1,2,NA,NA,NA,0.023294601,NA
680938,680937,grumant,680938_680937,2010_680938_680937,2010,N#0001,1,0,0,0,1,1,NA,0.75486907,NA
680938,680937,grumant,680938_680937,2011_680938_680937,2011,N#0001,1,0,0,0,1,1,NA,0.75486907,NA
680938,680937,grumant,680938_680937,2012_680938_680937,2012,N#0001,1,NA,1,1,NA,NA,NA,0.75486907,NA
680940,680936,grumant,680940_680936,2010_680940_680936,2010,I#0003,1,0,0,1,NA,NA,NA,0.055706465,NA
680940,680936,grumant,680940_680936,2012_680940_680936,2012,I#0003,1,NA,1,1,NA,NA,NA,0.055706465,NA
680942,680932,grumant,680942_680932,2013_680942_680932,2013,M#0001,0,1,1,0,NA,0,NA,1.6661128,NA
680944,680909,grumant,680944_680909,2010_680944_680909,2010,I#0002,1,1,1,0,NA,1,NA,NA,NA
680944,6126045,grumant,680944_6126045,2014_680944_6126045,2014,I#0002,0,NA,NA,NA,NA,NA,NA,NA,NA
680946,6126012,grumant,680946_6126012,2013_680946_6126012,2013,L#0001,0,1,1,0,NA,0,NA,NA,NA
680948,680906,grumant,680948_680906,2010_680948_680906,2010,I#0001,1,0,0,0,0,0,NA,NA,NA
680948,680906,grumant,680948_680906,2011_680948_680906,2011,I#0001,0,1,1,0,1,NA,NA,NA,NA
680948,6146952,grumant,680948_6146952,2012_680948_6146952,2012,I#0001,1,NA,1,1,NA,NA,NA,1.120805499,NA
680949,6161679,grumant,680949_6161679,2010_680949_6161679,2010,L#0003,1,0,0,1,NA,NA,NA,2.455532876,NA
680949,6161679,grumant,680949_6161679,2012_680949_6161679,2012,L#0004,0,0,0,0,0,0,NA,2.455532876,NA
680949,6161679,grumant,680949_6161679,2013_680949_6161679,2013,L#0004,0,1,1,0,NA,0,NA,2.455532876,NA
6126003,6126050,grumant,6126003_6126050,2012_6126003_6126050,2012,D#0001,0,NA,1,1,NA,NA,NA,NA,NA
6126003,6126215,grumant,6126003_6126215,2014_6126003_6126215,2014,D#0001,0,0,0,0,0,0,NA,2.319564427,NA
6126003,6126215,grumant,6126003_6126215,2015_6126003_6126215,2015,D#0001,0,NA,1,1,NA,NA,NA,2.319564427,NA
6126004,6126019,grumant,6126004_6126019,2011_6126004_6126019,2011,E#0001,0,NA,NA,NA,NA,NA,NA,NA,NA
6126005,6126018,grumant,6126005_6126018,2011_6126005_6126018,2011,E#0002,0,NA,NA,NA,NA,NA,NA,NA,NA
6126009,6126010,grumant,6126009_6126010,2011_6126009_6126010,2011,F#0003,0,NA,NA,NA,NA,NA,NA,NA,NA
6126011,680932,grumant,6126011_680932,2014_6126011_680932,2014,M#0001,0,0,0,1,NA,NA,NA,1.6661128,NA
6126011,680932,grumant,6126011_680932,2016_6126011_680932,2016,M#0001,1,1,1,0,NA,0,NA,1.6661128,NA
6126015,6126047,grumant,6126015_6126047,2012_6126015_6126047,2012,B#0002,0,NA,1,1,NA,NA,-0.040466789,NA,NA
6126015,6141786,grumant,6126015_6141786,2016_6126015_6141786,2016,I#0002,1,1,1,0,0,NA,-0.040466789,NA,NA
6126015,6161673,grumant,6126015_6161673,2017_6126015_6161673,2017,I#0002,0,NA,NA,NA,NA,NA,-0.040466789,0.533389295,0.573856084
6126040,6126223,grumant,6126040_6126223,2014_6126040_6126223,2014,J#0004,0,0,0,0,0,0,1.874887583,-0.035841492,1.910729075
6126040,6126223,grumant,6126040_6126223,2015_6126040_6126223,2015,J#0004,0,0,0,0,1,1,1.874887583,-0.035841492,1.910729075
6126040,6126223,grumant,6126040_6126223,2016_6126040_6126223,2016,J#0004,1,0,0,0,0,0,1.874887583,-0.035841492,1.910729075
6126040,6126223,grumant,6126040_6126223,2017_6126040_6126223,2017,J#0004,0,NA,NA,NA,NA,NA,1.874887583,-0.035841492,1.910729075
6126044,6126033,grumant,6126044_6126033,2017_6126044_6126033,2017,K#0008,0,NA,NA,NA,NA,NA,NA,0.031238805,NA
6126203,6126204,grumant,6126203_6126204,2011_6126203_6126204,2011,A#0002,0,1,1,0,NA,0,NA,NA,NA
6126206,6146961,grumant,6126206_6146961,2012_6126206_6146961,2012,G#0002,0,NA,NA,NA,NA,NA,NA,NA,NA
6126207,6126205,grumant,6126207_6126205,2012_6126207_6126205,2012,F#0005,0,NA,1,2,NA,NA,NA,NA,NA
6126207,6141769,grumant,6126207_6141769,2015_6126207_6141769,2015,F#0005,0,NA,NA,NA,NA,NA,NA,NA,NA
6126210,6126236,grumant,6126210_6126236,2015_6126210_6126236,2015,K#0006,0,1,1,0,NA,1,NA,2.250164875,NA
6126212,6126214,grumant,6126212_6126214,2012_6126212_6126214,2012,F#0001,0,NA,NA,NA,NA,NA,NA,NA,NA
6126213,6126048,grumant,6126213_6126048,2012_6126213_6126048,2012,G#0003,0,NA,1,1,NA,NA,1.195372844,NA,NA
6126213,6126220,grumant,6126213_6126220,2014_6126213_6126220,2014,K#0007,0,1,1,0,NA,0,1.195372844,-0.030199559,1.225572403
6126213,6126236,grumant,6126213_6126236,2016_6126213_6126236,2016,K#0007,1,0,0,0,0,0,1.195372844,2.250164875,1.054792031
6126213,6126236,grumant,6126213_6126236,2017_6126213_6126236,2017,K#0007,0,NA,NA,NA,NA,NA,1.195372844,2.250164875,1.054792031
6126216,6177247,grumant,6126216_6177247,2012_6126216_6177247,2012,C#0001,0,NA,NA,NA,NA,NA,NA,NA,NA
6126217,6126204,grumant,6126217_6126204,2012_6126217_6126204,2012,B#0001,0,NA,NA,NA,NA,NA,NA,NA,NA
6126218,6126045,grumant,6126218_6126045,2012_6126218_6126045,2012,H#0002,0,1,1,0,NA,0,NA,NA,NA
6126227,6126223,grumant,6126227_6126223,2012_6126227_6126223,2012,D#0004,0,NA,1,1,NA,NA,NA,-0.035841492,NA
6126229,6126222,grumant,6126229_6126222,2012_6126229_6126222,2012,D#0002,0,NA,NA,NA,NA,NA,NA,NA,NA
6126235,680932,grumant,6126235_680932,2012_6126235_680932,2012,M#0001,1,1,1,0,NA,0,NA,1.6661128,NA
6126238,6126241,grumant,6126238_6126241,2014_6126238_6126241,2014,I#0005,0,NA,1,3,NA,NA,2.455532876,NA,NA
6126238,6177208,grumant,6126238_6177208,2018_g_6126238_6177208,2018_g,J#0003,0,NA,NA,NA,NA,NA,2.455532876,1.924625575,0.530907301
6126239,6161679,grumant,6126239_6161679,2014_6126239_6161679,2014,L#0004,0,0,0,0,1,1,2.220430812,2.455532876,0.235102064
6126239,6161679,grumant,6126239_6161679,2015_6126239_6161679,2015,L#0004,1,0,0,0,1,1,2.220430812,2.455532876,0.235102064
6126239,6161679,grumant,6126239_6161679,2016_6126239_6161679,2016,L#0004,1,1,1,0,0,0,2.220430812,2.455532876,0.235102064
6126239,6126215,grumant,6126239_6126215,2017_6126239_6126215,2017,L#0004,0,NA,NA,NA,NA,NA,2.220430812,2.319564427,0.099133615
6126242,6177227,grumant,6126242_6177227,2014_6126242_6177227,2014,H#0001,0,0,0,0,1,1,0.769447901,1.621696313,0.852248412
6126242,6177227,grumant,6126242_6177227,2015_6126242_6177227,2015,H#0001,1,0,0,0,1,1,0.769447901,1.621696313,0.852248412
6126242,6177227,grumant,6126242_6177227,2016_6126242_6177227,2016,H#0001,1,0,0,0,0,0,0.769447901,1.621696313,0.852248412
6126242,6177227,grumant,6126242_6177227,2017_6126242_6177227,2017,H#0001,0,0,0,0,0,0,0.769447901,1.621696313,0.852248412
6126242,6177227,grumant,6126242_6177227,2018_g_6126242_6177227,2018_g,H#0001,0,NA,NA,NA,NA,NA,0.769447901,1.621696313,0.852248412
6126243,6161667,grumant,6126243_6161667,2014_6126243_6161667,2014,H#0003,0,1,1,0,NA,1,NA,2.09039202,NA
6126244,6191621,grumant,6126244_6191621,2015_6126244_6191621,2015,H#0002,1,0,0,0,1,1,2.179750404,NA,NA
6126244,6191621,grumant,6126244_6191621,2016_6126244_6191621,2016,H#0002,1,1,1,0,0,NA,2.179750404,NA,NA
6126244,6161663,grumant,6126244_6161663,2017_6126244_6161663,2017,H#0002,0,NA,NA,NA,NA,NA,2.179750404,2.081314206,0.098436198
6126246,6126245,grumant,6126246_6126245,2014_6126246_6126245,2014,E#0002,0,NA,NA,NA,NA,NA,0.020327952,NA,NA
6126247,6146952,grumant,6126247_6146952,2014_6126247_6146952,2014,I#0001,0,NA,NA,NA,NA,NA,NA,1.120805499,NA
6126250,6141764,grumant,6126250_6141764,2014_6126250_6141764,2014,G#0001,0,NA,1,1,NA,NA,NA,NA,NA
6141766,6228268,grumant,6141766_6228268,2016_6141766_6228268,2016,H#0003,1,0,0,0,0,0,0.511031571,2.27702308,1.765991509
6141766,6228268,grumant,6141766_6228268,2017_6141766_6228268,2017,H#0003,0,0,0,0,0,0,0.511031571,2.27702308,1.765991509
6141766,6228268,grumant,6141766_6228268,2018_g_6141766_6228268,2018_g,H#0003,0,NA,NA,NA,NA,NA,0.511031571,2.27702308,1.765991509
6141770,6126233,grumant,6141770_6126233,2016_6141770_6126233,2016,L#0005,0,1,1,0,0,0,0.127940704,1.23282592,1.104885216
6141770,6161665,grumant,6141770_6161665,2017_6141770_6161665,2017,L#0005,0,NA,NA,NA,NA,NA,0.127940704,0.885330963,0.757390259
6141773,6141762,grumant,6141773_6141762,2017_6141773_6141762,2017,K#0002,1,NA,NA,NA,NA,NA,1.761165337,0.221514085,1.539651252
6141776,6161685,grumant,6141776_6161685,2018_g_6141776_6161685,2018_g,K#0009,0,NA,NA,NA,NA,NA,2.220812909,2.080973252,0.139839657
6141782,680937,grumant,6141782_680937,2016_6141782_680937,2016,L#0007,1,NA,NA,NA,NA,NA,2.618194298,0.75486907,1.863325228
6141783,6141787,grumant,6141783_6141787,2016_6141783_6141787,2016,N#0001,1,NA,NA,NA,NA,NA,-0.176217961,NA,NA
6146954,6126006,grumant,6146954_6126006,2011_6146954_6126006,2011,E#0004,0,NA,1,2,NA,NA,NA,0.007106512,NA
6146954,6126248,grumant,6146954_6126248,2014_6146954_6126248,2014,E#0003,0,NA,NA,NA,NA,NA,NA,NA,NA
6146955,680908,grumant,6146955_680908,2010_6146955_680908,2010,O#0002,0,0,0,1,NA,NA,NA,NA,NA
6146955,680908,grumant,6146955_680908,2012_6146955_680908,2012,K#0008,1,0,0,0,0,0,NA,NA,NA
6146955,680908,grumant,6146955_680908,2013_6146955_680908,2013,K#0008,0,1,1,0,0,0,NA,NA,NA
6146955,6126232,grumant,6146955_6126232,2014_6146955_6126232,2014,K#0008,0,1,1,0,0,NA,NA,NA,NA
6146955,6126220,grumant,6146955_6126220,2015_6146955_6126220,2015,K#0008,0,NA,NA,NA,NA,NA,NA,-0.030199559,NA
6146957,680947,grumant,6146957_680947,2010_6146957_680947,2010,N#0002,1,0,0,0,1,1,NA,NA,NA
6146957,680947,grumant,6146957_680947,2011_6146957_680947,2011,N#0002,1,0,0,0,1,1,NA,NA,NA
6146957,680947,grumant,6146957_680947,2012_6146957_680947,2012,N#0002,1,NA,NA,NA,NA,NA,NA,NA,NA
6146960,6126002,grumant,6146960_6126002,2012_6146960_6126002,2012,D#0005,0,NA,NA,NA,NA,NA,NA,NA,NA
6146963,6126234,grumant,6146963_6126234,2014_6146963_6126234,2014,N#0003,0,NA,NA,NA,NA,NA,NA,NA,NA
6146967,6126226,grumant,6146967_6126226,2012_6146967_6126226,2012,I#0002,0,1,1,0,0,NA,-0.044268992,NA,NA
6146967,6126045,grumant,6146967_6126045,2013_6146967_6126045,2013,H#0002,0,1,1,0,0,0,-0.044268992,NA,NA
6146967,680936,grumant,6146967_680936,2014_6146967_680936,2014,I#0003,0,0,0,2,NA,NA,-0.044268992,0.055706465,0.099975457
6146967,680936,grumant,6146967_680936,2017_6146967_680936,2017,I#0003,0,NA,NA,NA,NA,NA,-0.044268992,0.055706465,0.099975457
6146977,6146959,grumant,6146977_6146959,2010_6146977_6146959,2010,G#0001,0,0,0,0,1,1,NA,NA,NA
6146977,6146959,grumant,6146977_6146959,2011_6146977_6146959,2011,G#0001,1,0,0,0,0,0,NA,NA,NA
6146977,6146959,grumant,6146977_6146959,2012_6146977_6146959,2012,K#0007,0,NA,1,1,NA,NA,NA,NA,NA
6146982,6126232,grumant,6146982_6126232,2012_6146982_6126232,2012,K#0009,1,NA,1,1,NA,NA,NA,NA,NA
6146982,6146959,grumant,6146982_6146959,2014_6146982_6146959,2014,K#0009,0,NA,NA,NA,NA,NA,NA,NA,NA
6146983,6126225,grumant,6146983_6126225,2012_6146983_6126225,2012,I#0006,0,0,0,1,NA,NA,NA,NA,NA
6146983,6126225,grumant,6146983_6126225,2014_6146983_6126225,2014,I#0006,0,NA,1,1,NA,NA,NA,NA,NA
6146983,6141765,grumant,6146983_6141765,2016_6146983_6141765,2016,I#0006,1,0,0,0,0,0,NA,0.082012087,NA
6146983,6141765,grumant,6146983_6141765,2017_6146983_6141765,2017,I#0005,0,NA,NA,NA,NA,NA,NA,0.082012087,NA
6146996,6126012,grumant,6146996_6126012,2014_6146996_6126012,2014,L#0001,0,NA,1,1,NA,NA,1.82065594,NA,NA
6146996,6141771,grumant,6146996_6141771,2016_6146996_6141771,2016,L#0001,1,0,0,0,0,0,1.82065594,0.530921197,1.289734743
6146996,6141771,grumant,6146996_6141771,2017_6146996_6141771,2017,L#0001,0,0,0,0,0,0,1.82065594,0.530921197,1.289734743
6146996,6141771,grumant,6146996_6141771,2018_g_6146996_6141771,2018_g,L#0001,0,NA,NA,NA,NA,NA,1.82065594,0.530921197,1.289734743
6161662,6228300,grumant,6161662_6228300,2017_6161662_6228300,2017,R#0003,0,NA,NA,NA,NA,NA,NA,NA,NA
6161664,6161670,grumant,6161664_6161670,2017_6161664_6161670,2017,K#0006,0,NA,NA,NA,NA,NA,0.015407548,0.529103516,0.513695968
6161666,6177218,grumant,6161666_6177218,2010_6161666_6177218,2010,M#0002,1,0,0,0,1,1,2.240667731,NA,NA
6161666,6177218,grumant,6161666_6177218,2011_6161666_6177218,2011,M#0002,1,1,1,0,0,NA,2.240667731,NA,NA
6161666,6126046,grumant,6161666_6126046,2012_6161666_6126046,2012,M#0002,0,0,0,0,0,0,2.240667731,0.168351395,2.072316336
6161666,6126046,grumant,6161666_6126046,2013_6161666_6126046,2013,M#0002,0,0,0,0,0,0,2.240667731,0.168351395,2.072316336
6161666,6126046,grumant,6161666_6126046,2014_6161666_6126046,2014,M#0002,0,0,0,0,1,1,2.240667731,0.168351395,2.072316336
6161666,6126046,grumant,6161666_6126046,2015_6161666_6126046,2015,M#0002,1,0,0,1,NA,NA,2.240667731,0.168351395,2.072316336
6161666,6126046,grumant,6161666_6126046,2017_6161666_6126046,2017,M#0002,0,NA,NA,NA,NA,NA,2.240667731,0.168351395,2.072316336
6161669,6177214,grumant,6161669_6177214,2009_6161669_6177214,2009,K#0004,1,1,1,0,1,1,1.899217158,NA,NA
6161669,680935,grumant,6161669_680935,2010_6161669_680935,2010,K#0004,1,0,0,0,1,1,1.899217158,NA,NA
6161669,680935,grumant,6161669_680935,2011_6161669_680935,2011,K#0004,1,1,1,0,1,NA,1.899217158,NA,NA
6161669,6126228,grumant,6161669_6126228,2012_6161669_6126228,2012,K#0004,1,NA,1,1,NA,NA,1.899217158,NA,NA
6161669,6141762,grumant,6161669_6141762,2014_6161669_6141762,2014,K#0004,0,0,0,0,0,0,1.899217158,0.221514085,1.677703073
6161669,6141762,grumant,6161669_6141762,2015_6161669_6141762,2015,K#0004,0,1,1,0,1,NA,1.899217158,0.221514085,1.677703073
6161669,6126219,grumant,6161669_6126219,2016_6161669_6126219,2016,K#0005,1,0,0,0,0,0,1.899217158,0.469624939,1.429592219
6161669,6126219,grumant,6161669_6126219,2017_6161669_6126219,2017,K#0005,0,0,0,0,0,0,1.899217158,0.469624939,1.429592219
6161669,6126219,grumant,6161669_6126219,2018_g_6161669_6126219,2018_g,K#0005,0,NA,NA,NA,NA,NA,1.899217158,0.469624939,1.429592219
6161674,6126233,grumant,6161674_6126233,2017_6161674_6126233,2017,N#0003,0,NA,NA,NA,NA,NA,0.131212908,1.23282592,1.101613012
6161678,6191620,grumant,6161678_6191620,2018_g_6161678_6191620,2018_g,H#0002,0,NA,NA,NA,NA,NA,0.032734666,-0.014993633,0.047728299
6161686,6141775,grumant,6161686_6141775,2018_g_6161686_6141775,2018_g,L#0007,0,NA,NA,NA,NA,NA,2.394906842,NA,NA
6162420,6177227,grumant,6162420_6177227,2010_6162420_6177227,2010,H#0001,1,0,0,0,1,1,NA,1.621696313,NA
6162420,6177227,grumant,6162420_6177227,2011_6162420_6177227,2011,H#0001,1,0,0,0,0,0,NA,1.621696313,NA
6162420,6177227,grumant,6162420_6177227,2012_6162420_6177227,2012,H#0001,0,NA,1,1,NA,NA,NA,1.621696313,NA
6177201,680902,grumant,6177201_680902,2010_6177201_680902,2010,I#0005,0,NA,1,1,NA,NA,NA,NA,NA
6177201,6177225,grumant,6177201_6177225,2012_6177201_6177225,2012,I#0005,0,NA,NA,NA,NA,NA,NA,NA,NA
6177203,6177208,grumant,6177203_6177208,2010_6177203_6177208,2010,J#0005,1,0,0,0,1,1,2.029800417,1.924625575,0.105174842
6177203,6177208,grumant,6177203_6177208,2011_6177203_6177208,2011,J#0005,1,0,0,0,1,1,2.029800417,1.924625575,0.105174842
6177203,6177208,grumant,6177203_6177208,2012_6177203_6177208,2012,J#0005,1,0,0,0,0,0,2.029800417,1.924625575,0.105174842
6177203,6177208,grumant,6177203_6177208,2013_6177203_6177208,2013,J#0005,0,0,0,0,0,0,2.029800417,1.924625575,0.105174842
6177203,6177208,grumant,6177203_6177208,2014_6177203_6177208,2014,J#0005,0,0,0,0,1,1,2.029800417,1.924625575,0.105174842
6177203,6177208,grumant,6177203_6177208,2015_6177203_6177208,2015,J#0005,1,0,0,0,1,1,2.029800417,1.924625575,0.105174842
6177203,6177208,grumant,6177203_6177208,2016_6177203_6177208,2016,J#0005,1,1,1,0,0,0,2.029800417,1.924625575,0.105174842
6177203,6141774,grumant,6177203_6141774,2017_6177203_6141774,2017,J#0005,0,0,0,0,0,0,2.029800417,2.145695657,0.11589524
6177203,6141774,grumant,6177203_6141774,2018_g_6177203_6141774,2018_g,J#0005,0,NA,NA,NA,NA,NA,2.029800417,2.145695657,0.11589524
6177204,6177247,grumant,6177204_6177247,2009_6177204_6177247,2009,J#0001,1,1,1,0,1,NA,1.392766777,NA,NA
6177204,680914,grumant,6177204_680914,2010_6177204_680914,2010,J#0001,1,1,1,0,1,NA,1.392766777,NA,NA
6177204,6126201,grumant,6177204_6126201,2011_6177204_6126201,2011,J#0001,1,0,0,0,0,0,1.392766777,1.656230632,0.263463855
6177204,6126201,grumant,6177204_6126201,2012_6177204_6126201,2012,J#0001,0,0,0,0,0,0,1.392766777,1.656230632,0.263463855
6177204,6126201,grumant,6177204_6126201,2013_6177204_6126201,2013,J#0001,0,1,1,0,0,0,1.392766777,1.656230632,0.263463855
