ring,sex,colony,pair_ID,cycle_pair,year_t,season_outcome,next_season,season_tru
6234510,M,pyramiden,6234510_6234766,2019_6234510_6234766,2019,0,NA,0
6234510,M,pyramiden,6234510_6234766,2021_6234510_6234766,2021,0,1,0
6234510,M,pyramiden,6234510_6234766,2022_6234510_6234766,2022,NA,NA,NA
6234510,M,pyramiden,6234510_6234766,2018_p_6234510_6234766,2018_p,0,NA,0
6234513,M,pyramiden,6234513_6234582,2021_6234513_6234582,2021,0,0,0
6234513,M,pyramiden,6234513_6234582,2022_6234513_6234582,2022,NA,NA,NA
6234513,M,pyramiden,6234513_6234795,2018_p_6234513_6234795,2018_p,1,NA,NA
6234516,M,pyramiden,6234516_6234720,2019_6234516_6234720,2019,0,NA,0
6234516,M,pyramiden,6234516_6234720,2021_6234516_6234720,2021,NA,NA,NA
6234516,M,pyramiden,6234516_6234760,2018_p_6234516_6234760,2018_p,1,NA,NA
6234524,M,pyramiden,6234524_6234525,2019_6234524_6234525,2019,NA,NA,NA
6234524,M,pyramiden,6234524_6234603,2018_p_6234524_6234603,2018_p,1,NA,NA
6234526,M,pyramiden,6234526_6234486,2018_p_6234526_6234486,2018_p,NA,NA,NA
6234527,M,pyramiden,6234527_6234481,2018_p_6234527_6234481,2018_p,NA,NA,NA
6234528,M,pyramiden,6234528_6234609,2019_6234528_6234609,2019,NA,NA,NA
6234549,M,pyramiden,6234549_6234783,2018_p_6234549_6234783,2018_p,NA,NA,NA
6234565,M,pyramiden,6234565_6207513,2021_6234565_6207513,2021,NA,NA,NA
6234567,M,pyramiden,6234567_6234511,2021_6234567_6234511,2021,0,0,0
6234567,M,pyramiden,6234567_6234511,2022_6234567_6234511,2022,NA,NA,NA
6234571,M,pyramiden,6234571_6234583,2021_6234571_6234583,2021,0,NA,0
6234571,M,pyramiden,6234571_6234583,2022_6234571_6234583,2022,NA,NA,NA
6234572,M,pyramiden,6234572_6234193,2021_6234572_6234193,2021,1,1,NA
6234572,M,pyramiden,6234572_Unringed,2022_6234572_Unringed,2022,NA,NA,NA
6234573,M,pyramiden,6234573_6234590,2021_6234573_6234590,2021,0,0,0
6234573,M,pyramiden,6234573_6234590,2022_6234573_6234590,2022,NA,NA,NA
6234575,M,pyramiden,6234575_6207533,2021_6234575_6207533,2021,NA,NA,NA
6234576,M,pyramiden,6234576_6207510,2021_6234576_6207510,2021,0,0,0
6234576,M,pyramiden,6234576_6207510,2022_6234576_6207510,2022,NA,NA,NA
6234578,M,pyramiden,6234578_6207509,2021_6234578_6207509,2021,1,NA,NA
6234579,M,pyramiden,6234579_6234515,2021_6234579_6234515,2021,NA,NA,NA
6234580,M,pyramiden,6234580_6234739,2021_6234580_6234739,2021,NA,NA,NA
6234581,M,pyramiden,6234581_6234721,2021_6234581_6234721,2021,NA,NA,NA
6234584,M,pyramiden,6234584_6234570,2021_6234584_6234570,2021,NA,NA,NA
6234585,M,pyramiden,6234585_6234568,2021_6234585_6234568,2021,NA,NA,NA
6234587,M,pyramiden,6234587_6234577,2021_6234587_6234577,2021,1,0,1
6234587,M,pyramiden,6234587_6234528,2022_6234587_6234528,2022,NA,NA,NA
6234591,M,pyramiden,6234591_6207519,2021_6234591_6207519,2021,0,0,0
6234591,M,pyramiden,6234591_6207519,2022_6234591_6207519,2022,NA,NA,NA
6234602,M,pyramiden,6234602_6234525,2018_p_6234602_6234525,2018_p,1,NA,NA
6234606,M,pyramiden,6234606_6234724,2021_6234606_6234724,2021,1,0,NA
6234606,M,pyramiden,6234606_6234481,2022_6234606_6234481,2022,NA,NA,NA
6234606,M,pyramiden,6234606_6234643,2018_p_6234606_6234643,2018_p,NA,NA,NA
6234607,M,pyramiden,6234607_6234741,2019_6234607_6234741,2019,0,NA,0
6234607,M,pyramiden,6234607_6234741,2021_6234607_6234741,2021,NA,NA,NA
6234608,M,pyramiden,6234608_6234574,2021_6234608_6234574,2021,1,NA,1
6234608,M,pyramiden,6234608_6234480,2018_p_6234608_6234480,2018_p,NA,NA,NA
6234613,M,pyramiden,6234613_6234529,2021_6234613_6234529,2021,0,0,0
6234613,M,pyramiden,6234613_6234529,2022_6234613_6234529,2022,NA,NA,NA
6234625,M,pyramiden,6234625_6234783,2022_6234625_6234783,2022,NA,NA,NA
6234702,M,pyramiden,6234702_6234728,2019_6234702_6234728,2019,NA,NA,NA
6234702,M,pyramiden,6234702_6207516,2021_6234702_6207516,2021,0,1,0
6234702,M,pyramiden,6234702_6207516,2022_6234702_6207516,2022,NA,NA,NA
6234702,M,pyramiden,6234702_6234650,2018_p_6234702_6234650,2018_p,1,NA,NA
6234725,M,pyramiden,6234725_6234730,2019_6234725_6234730,2019,0,NA,0
6234725,M,pyramiden,6234725_6234730,2021_6234725_6234730,2021,0,1,0
6234725,M,pyramiden,6234725_6234730,2022_6234725_6234730,2022,NA,NA,NA
6234726,M,pyramiden,6234726_6234721,2019_6234726_6234721,2019,NA,NA,NA
6234727,M,pyramiden,6234727_6234742,2019_6234727_6234742,2019,NA,NA,NA
6234727,M,pyramiden,6234727_6234795,2021_6234727_6234795,2021,NA,NA,NA
6234729,M,pyramiden,6234729_6234719,2019_6234729_6234719,2019,0,NA,0
6234729,M,pyramiden,6234729_6234719,2021_6234729_6234719,2021,0,0,0
6234729,M,pyramiden,6234729_6234719,2022_6234729_6234719,2022,NA,NA,NA
6234732,M,pyramiden,6234732_6234722,2019_6234732_6234722,2019,NA,NA,NA
6234732,M,pyramiden,6234732_6234788,2021_6234732_6234788,2021,NA,NA,NA
6234733,M,pyramiden,6234733_6234723,2019_6234733_6234723,2019,0,NA,0
6234733,M,pyramiden,6234733_6234723,2021_6234733_6234723,2021,NA,NA,NA
6234734,M,pyramiden,6234734_6234724,2019_6234734_6234724,2019,NA,NA,NA
6234734,M,pyramiden,6234734_6234175,2022_6234734_6234175,2022,NA,NA,NA
6234735,M,pyramiden,6234735_6234472,2019_6234735_6234472,2019,NA,NA,NA
6234737,M,pyramiden,6234737_6234747,2019_6234737_6234747,2019,0,NA,0
6234737,M,pyramiden,6234737_6234747,2021_6234737_6234747,2021,0,1,0
6234737,M,pyramiden,6234737_6234747,2022_6234737_6234747,2022,NA,NA,NA
6234744,M,pyramiden,6234744_6234611,2019_6234744_6234611,2019,0,NA,0
6234744,M,pyramiden,6234744_6234611,2021_6234744_6234611,2021,0,1,0
6234744,M,pyramiden,6234744_6234611,2022_6234744_6234611,2022,NA,NA,NA
6234745,M,pyramiden,6234745_6234478,2019_6234745_6234478,2019,0,NA,0
6234745,M,pyramiden,6234745_6234478,2021_6234745_6234478,2021,0,1,0
6234745,M,pyramiden,6234745_6234478,2022_6234745_6234478,2022,NA,NA,NA
6234748,M,pyramiden,6234748_6234736,2019_6234748_6234736,2019,NA,NA,NA
6234755,M,pyramiden,6234755_6234531,2018_p_6234755_6234531,2018_p,NA,NA,NA
6234756,M,pyramiden,6234756_6234547,2019_6234756_6234547,2019,NA,NA,NA
6234756,M,pyramiden,6234756_6234547,2018_p_6234756_6234547,2018_p,0,NA,0
6234758,M,pyramiden,6234758_6234511,2018_p_6234758_6234511,2018_p,NA,NA,NA
6234761,M,pyramiden,6234761_6234772,2019_6234761_6234772,2019,NA,NA,NA
6234761,M,pyramiden,6234761_6234701,2018_p_6234761_6234701,2018_p,1,NA,1
6234762,M,pyramiden,6234762_6234453,2019_6234762_6234453,2019,0,NA,0
6234762,M,pyramiden,6234762_6234453,2022_6234762_6234453,2022,NA,NA,NA
6234762,M,pyramiden,6234762_6234453,2018_p_6234762_6234453,2018_p,0,NA,0
6234763,M,pyramiden,6234763_6234530,2019_6234763_6234530,2019,0,NA,0
6234763,M,pyramiden,6234763_6234530,2021_6234763_6234530,2021,NA,NA,NA
6234764,M,pyramiden,6234764_6234452,2019_6234764_6234452,2019,0,NA,0
6234764,M,pyramiden,6234764_6234452,2021_6234764_6234452,2021,1,0,NA
6234764,M,pyramiden,6234764_Unringed,2022_6234764_Unringed,2022,NA,NA,NA
6234764,M,pyramiden,6234764_6234452,2018_p_6234764_6234452,2018_p,0,NA,0
6234767,M,pyramiden,6234767_6234718,2019_6234767_6234718,2019,NA,NA,NA
6234767,M,pyramiden,6234767_6207505,2021_6234767_6207505,2021,NA,NA,NA
6234767,M,pyramiden,6234767_6234456,2018_p_6234767_6234456,2018_p,1,NA,1
6234768,M,pyramiden,6234768_6234550,2019_6234768_6234550,2019,0,NA,0
6234768,M,pyramiden,6234768_6234550,2021_6234768_6234550,2021,NA,NA,NA
6234768,M,pyramiden,6234768_6234550,2018_p_6234768_6234550,2018_p,0,NA,0
6234769,M,pyramiden,6234769_6234456,2021_6234769_6234456,2021,0,0,0
6234769,M,pyramiden,6234769_6234456,2022_6234769_6234456,2022,NA,NA,NA
6234769,M,pyramiden,6234769_6234457,2018_p_6234769_6234457,2018_p,NA,NA,NA
6234771,M,pyramiden,6234771_6234517,2018_p_6234771_6234517,2018_p,NA,NA,NA
6234775,M,pyramiden,6234775_6234505,2019_6234775_6234505,2019,0,NA,0
6234775,M,pyramiden,6234775_6234505,2021_6234775_6234505,2021,0,0,0
6234775,M,pyramiden,6234775_6234505,2022_6234775_6234505,2022,NA,NA,NA
6234775,M,pyramiden,6234775_6234505,2018_p_6234775_6234505,2018_p,0,NA,0
6234776,M,pyramiden,6234776_6234462,2019_6234776_6234462,2019,0,NA,0
6234776,M,pyramiden,6234776_6234462,2022_6234776_6234462,2022,NA,NA,NA
6234776,M,pyramiden,6234776_6234462,2018_p_6234776_6234462,2018_p,0,NA,0
6234778,M,pyramiden,6234778_6234506,2019_6234778_6234506,2019,NA,NA,NA
6234778,M,pyramiden,6234778_6234506,2018_p_6234778_6234506,2018_p,0,NA,0
6234779,M,pyramiden,6234779_6234463,2018_p_6234779_6234463,2018_p,1,NA,NA
6234780,M,pyramiden,6234780_6234463,2019_6234780_6234463,2019,0,NA,0
6234780,M,pyramiden,6234780_6234463,2021_6234780_6234463,2021,0,0,0
6234780,M,pyramiden,6234780_6234463,2022_6234780_6234463,2022,NA,NA,NA
6234780,M,pyramiden,6234780_6234464,2018_p_6234780_6234464,2018_p,1,NA,NA
6234782,M,pyramiden,6234782_6234529,2019_6234782_6234529,2019,NA,NA,NA
6234782,M,pyramiden,6234782_6234506,2021_6234782_6234506,2021,NA,NA,NA
6234782,M,pyramiden,6234782_6234529,2018_p_6234782_6234529,2018_p,0,NA,0
6234784,M,pyramiden,6234784_6234512,2019_6234784_6234512,2019,0,NA,0
6234784,M,pyramiden,6234784_6234512,2021_6234784_6234512,2021,NA,NA,NA
6234784,M,pyramiden,6234784_6234512,2018_p_6234784_6234512,2018_p,0,NA,0
6234786,M,pyramiden,6234786_6234746,2019_6234786_6234746,2019,NA,NA,0
6234786,M,pyramiden,6234786_6234746,2021_6234786_6234746,2021,NA,NA,NA
6234789,M,pyramiden,6234789_6234469,2018_p_6234789_6234469,2018_p,NA,NA,NA
6234792,M,pyramiden,6234792_6234790,2019_6234792_6234790,2019,0,NA,0
6234792,M,pyramiden,6234792_6234790,2021_6234792_6234790,2021,0,1,0
6234792,M,pyramiden,6234792_6234790,2022_6234792_6234790,2022,NA,NA,NA
6234792,M,pyramiden,6234792_6234472,2018_p_6234792_6234472,2018_p,1,NA,1
6234793,M,pyramiden,6234793_6234473,2019_6234793_6234473,2019,0,NA,0
6234793,M,pyramiden,6234793_6234473,2021_6234793_6234473,2021,0,1,0
6234793,M,pyramiden,6234793_6234473,2022_6234793_6234473,2022,NA,NA,NA
6234793,M,pyramiden,6234793_6234473,2018_p_6234793_6234473,2018_p,0,NA,0
6234794,M,pyramiden,6234794_6234475,2018_p_6234794_6234475,2018_p,NA,NA,NA
6234797,M,pyramiden,6234797_6234795,2019_6234797_6234795,2019,NA,NA,NA
6234797,M,pyramiden,6234797_6234514,2018_p_6234797_6234514,2018_p,1,NA,NA
6234798,M,pyramiden,6234798_6234515,2019_6234798_6234515,2019,NA,NA,NA
6234798,M,pyramiden,6234798_6234515,2018_p_6234798_6234515,2018_p,0,NA,0
6234799,M,pyramiden,6234799_6234548,2018_p_6234799_6234548,2018_p,NA,NA,NA
6255201,M,pyramiden,6255201_6234722,2022_6255201_6234722,2022,NA,NA,NA
6255203,M,pyramiden,6255203_6234701,2022_6255203_6234701,2022,NA,NA,NA
unringed,M,pyramiden,unringed_6207509,2022_unringed_6207509,2022,NA,NA,NA
Unringed,M,pyramiden,Unringed_6234574,2022_Unringed_6234574,2022,NA,NA,NA
Unringed,M,pyramiden,Unringed_6234736,2022_Unringed_6234736,2022,NA,NA,NA
6161667,F,grumant,680901_6161667,2010_680901_6161667,2010,0,1,0
6161667,F,grumant,680901_6161667,2011_680901_6161667,2011,0,0,0
6161667,F,grumant,680901_6161667,2012_680901_6161667,2012,0,0,0
6161667,F,grumant,680901_6161667,2013_680901_6161667,2013,1,0,NA
6177225,F,grumant,680905_6177225,2010_680905_6177225,2010,NA,NA,NA
6126202,F,grumant,680905_6126202,2012_680905_6126202,2012,NA,NA,NA
6126047,F,grumant,680905_6126047,2014_680905_6126047,2014,NA,NA,NA
6162462,F,grumant,680910_6162462,2012_680910_6162462,2012,NA,NA,NA
6126233,F,grumant,680910_6126233,2014_680910_6126233,2014,0,1,0
6126233,F,grumant,680910_6126233,2015_680910_6126233,2015,1,0,NA
680939,F,grumant,680934_680939,2010_680934_680939,2010,0,1,0
680939,F,grumant,680934_680939,2011_680934_680939,2011,NA,NA,NA
680937,F,grumant,680938_680937,2010_680938_680937,2010,0,1,0
680937,F,grumant,680938_680937,2011_680938_680937,2011,0,1,0
680937,F,grumant,680938_680937,2012_680938_680937,2012,NA,NA,NA
680936,F,grumant,680940_680936,2010_680940_680936,2010,0,NA,0
680936,F,grumant,680940_680936,2012_680940_680936,2012,NA,NA,NA
680932,F,grumant,680942_680932,2013_680942_680932,2013,1,0,1
680909,F,grumant,680944_680909,2010_680944_680909,2010,1,1,1
6126045,F,grumant,680944_6126045,2014_680944_6126045,2014,NA,NA,NA
6126012,F,grumant,680946_6126012,2013_680946_6126012,2013,1,0,NA
680906,F,grumant,680948_680906,2010_680948_680906,2010,0,0,0
680906,F,grumant,680948_680906,2011_680948_680906,2011,1,NA,1
6146952,F,grumant,680948_6146952,2012_680948_6146952,2012,NA,NA,NA
6161679,F,grumant,680949_6161679,2010_680949_6161679,2010,0,NA,0
6161679,F,grumant,680949_6161679,2012_680949_6161679,2012,0,0,0
6161679,F,grumant,680949_6161679,2013_680949_6161679,2013,1,0,NA
6126050,F,grumant,6126003_6126050,2012_6126003_6126050,2012,NA,NA,NA
6126215,F,grumant,6126003_6126215,2014_6126003_6126215,2014,0,0,0
6126215,F,grumant,6126003_6126215,2015_6126003_6126215,2015,NA,NA,NA
6126019,F,grumant,6126004_6126019,2011_6126004_6126019,2011,NA,NA,NA
6126018,F,grumant,6126005_6126018,2011_6126005_6126018,2011,NA,NA,NA
6126010,F,grumant,6126009_6126010,2011_6126009_6126010,2011,NA,NA,NA
680932,F,grumant,6126011_680932,2014_6126011_680932,2014,0,NA,0
680932,F,grumant,6126011_680932,2016_6126011_680932,2016,1,0,NA
6126047,F,grumant,6126015_6126047,2012_6126015_6126047,2012,NA,NA,NA
6141786,F,grumant,6126015_6141786,2016_6126015_6141786,2016,1,NA,1
6161673,F,grumant,6126015_6161673,2017_6126015_6161673,2017,NA,NA,NA
6126223,F,grumant,6126040_6126223,2014_6126040_6126223,2014,0,0,0
6126223,F,grumant,6126040_6126223,2015_6126040_6126223,2015,0,1,0
6126223,F,grumant,6126040_6126223,2016_6126040_6126223,2016,0,0,0
6126223,F,grumant,6126040_6126223,2017_6126040_6126223,2017,NA,NA,NA
6126033,F,grumant,6126044_6126033,2017_6126044_6126033,2017,NA,NA,NA
6126204,F,grumant,6126203_6126204,2011_6126203_6126204,2011,1,0,NA
6146961,F,grumant,6126206_6146961,2012_6126206_6146961,2012,NA,NA,NA
6126205,F,grumant,6126207_6126205,2012_6126207_6126205,2012,NA,NA,NA
6141769,F,grumant,6126207_6141769,2015_6126207_6141769,2015,NA,NA,NA
6126236,F,grumant,6126210_6126236,2015_6126210_6126236,2015,1,1,1
6126214,F,grumant,6126212_6126214,2012_6126212_6126214,2012,NA,NA,NA
6126048,F,grumant,6126213_6126048,2012_6126213_6126048,2012,NA,NA,NA
6126220,F,grumant,6126213_6126220,2014_6126213_6126220,2014,1,0,1
6126236,F,grumant,6126213_6126236,2016_6126213_6126236,2016,0,0,0
6126236,F,grumant,6126213_6126236,2017_6126213_6126236,2017,NA,NA,NA
6177247,F,grumant,6126216_6177247,2012_6126216_6177247,2012,NA,NA,NA
6126204,F,grumant,6126217_6126204,2012_6126217_6126204,2012,NA,NA,NA
6126045,F,grumant,6126218_6126045,2012_6126218_6126045,2012,1,0,NA
6126223,F,grumant,6126227_6126223,2012_6126227_6126223,2012,NA,NA,NA
6126222,F,grumant,6126229_6126222,2012_6126229_6126222,2012,NA,NA,NA
680932,F,grumant,6126235_680932,2012_6126235_680932,2012,1,0,NA
6126241,F,grumant,6126238_6126241,2014_6126238_6126241,2014,NA,NA,NA
6177208,F,grumant,6126238_6177208,2018_g_6126238_6177208,2018_g,NA,NA,NA
6161679,F,grumant,6126239_6161679,2014_6126239_6161679,2014,0,1,0
6161679,F,grumant,6126239_6161679,2015_6126239_6161679,2015,0,1,0
6161679,F,grumant,6126239_6161679,2016_6126239_6161679,2016,1,0,1
6126215,F,grumant,6126239_6126215,2017_6126239_6126215,2017,NA,NA,NA
6177227,F,grumant,6126242_6177227,2014_6126242_6177227,2014,0,1,0
6177227,F,grumant,6126242_6177227,2015_6126242_6177227,2015,0,1,0
6177227,F,grumant,6126242_6177227,2016_6126242_6177227,2016,0,0,0
6177227,F,grumant,6126242_6177227,2017_6126242_6177227,2017,0,0,0
6177227,F,grumant,6126242_6177227,2018_g_6126242_6177227,2018_g,NA,NA,NA
6161667,F,grumant,6126243_6161667,2014_6126243_6161667,2014,1,1,1
6191621,F,grumant,6126244_6191621,2015_6126244_6191621,2015,0,1,0
6191621,F,grumant,6126244_6191621,2016_6126244_6191621,2016,1,NA,NA
6161663,F,grumant,6126244_6161663,2017_6126244_6161663,2017,NA,NA,NA
6126245,F,grumant,6126246_6126245,2014_6126246_6126245,2014,NA,NA,NA
6146952,F,grumant,6126247_6146952,2014_6126247_6146952,2014,NA,NA,NA
6141764,F,grumant,6126250_6141764,2014_6126250_6141764,2014,NA,NA,NA
6228268,F,grumant,6141766_6228268,2016_6141766_6228268,2016,0,0,0
6228268,F,grumant,6141766_6228268,2017_6141766_6228268,2017,0,0,0
6228268,F,grumant,6141766_6228268,2018_g_6141766_6228268,2018_g,NA,NA,NA
6126233,F,grumant,6141770_6126233,2016_6141770_6126233,2016,1,0,1
6161665,F,grumant,6141770_6161665,2017_6141770_6161665,2017,NA,NA,NA
6141762,F,grumant,6141773_6141762,2017_6141773_6141762,2017,NA,NA,NA
6161685,F,grumant,6141776_6161685,2018_g_6141776_6161685,2018_g,NA,NA,NA
680937,F,grumant,6141782_680937,2016_6141782_680937,2016,NA,NA,NA
6141787,F,grumant,6141783_6141787,2016_6141783_6141787,2016,NA,NA,NA
6126006,F,grumant,6146954_6126006,2011_6146954_6126006,2011,NA,NA,NA
6126248,F,grumant,6146954_6126248,2014_6146954_6126248,2014,NA,NA,NA
680908,F,grumant,6146955_680908,2010_6146955_680908,2010,0,NA,0
680908,F,grumant,6146955_680908,2012_6146955_680908,2012,0,0,0
680908,F,grumant,6146955_680908,2013_6146955_680908,2013,1,0,1
6126232,F,grumant,6146955_6126232,2014_6146955_6126232,2014,1,NA,NA
6126220,F,grumant,6146955_6126220,2015_6146955_6126220,2015,NA,NA,NA
680947,F,grumant,6146957_680947,2010_6146957_680947,2010,0,1,0
680947,F,grumant,6146957_680947,2011_6146957_680947,2011,0,1,0
680947,F,grumant,6146957_680947,2012_6146957_680947,2012,NA,NA,NA
6126002,F,grumant,6146960_6126002,2012_6146960_6126002,2012,NA,NA,NA
6126234,F,grumant,6146963_6126234,2014_6146963_6126234,2014,NA,NA,NA
6126226,F,grumant,6146967_6126226,2012_6146967_6126226,2012,1,NA,1
6126045,F,grumant,6146967_6126045,2013_6146967_6126045,2013,1,0,1
680936,F,grumant,6146967_680936,2014_6146967_680936,2014,0,NA,0
680936,F,grumant,6146967_680936,2017_6146967_680936,2017,NA,NA,NA
6146959,F,grumant,6146977_6146959,2010_6146977_6146959,2010,0,1,0
6146959,F,grumant,6146977_6146959,2011_6146977_6146959,2011,0,0,0
6146959,F,grumant,6146977_6146959,2012_6146977_6146959,2012,NA,NA,NA
6126232,F,grumant,6146982_6126232,2012_6146982_6126232,2012,NA,NA,NA
6146959,F,grumant,6146982_6146959,2014_6146982_6146959,2014,NA,NA,NA
6126225,F,grumant,6146983_6126225,2012_6146983_6126225,2012,0,NA,0
6126225,F,grumant,6146983_6126225,2014_6146983_6126225,2014,NA,NA,NA
6141765,F,grumant,6146983_6141765,2016_6146983_6141765,2016,0,0,0
6141765,F,grumant,6146983_6141765,2017_6146983_6141765,2017,NA,NA,NA
6126012,F,grumant,6146996_6126012,2014_6146996_6126012,2014,NA,NA,NA
6141771,F,grumant,6146996_6141771,2016_6146996_6141771,2016,0,0,0
6141771,F,grumant,6146996_6141771,2017_6146996_6141771,2017,0,0,0
6141771,F,grumant,6146996_6141771,2018_g_6146996_6141771,2018_g,NA,NA,NA
6228300,F,grumant,6161662_6228300,2017_6161662_6228300,2017,NA,NA,NA
6161670,F,grumant,6161664_6161670,2017_6161664_6161670,2017,NA,NA,NA
6177218,F,grumant,6161666_6177218,2010_6161666_6177218,2010,0,1,0
6177218,F,grumant,6161666_6177218,2011_6161666_6177218,2011,1,NA,NA
6126046,F,grumant,6161666_6126046,2012_6161666_6126046,2012,0,0,0
6126046,F,grumant,6161666_6126046,2013_6161666_6126046,2013,0,0,0
6126046,F,grumant,6161666_6126046,2014_6161666_6126046,2014,0,1,0
6126046,F,grumant,6161666_6126046,2015_6161666_6126046,2015,0,NA,0
6126046,F,grumant,6161666_6126046,2017_6161666_6126046,2017,NA,NA,NA
6177214,F,grumant,6161669_6177214,2009_6161669_6177214,2009,1,1,1
680935,F,grumant,6161669_680935,2010_6161669_680935,2010,0,1,0
680935,F,grumant,6161669_680935,2011_6161669_680935,2011,1,NA,NA
6126228,F,grumant,6161669_6126228,2012_6161669_6126228,2012,NA,NA,NA
6141762,F,grumant,6161669_6141762,2014_6161669_6141762,2014,0,0,0
6141762,F,grumant,6161669_6141762,2015_6161669_6141762,2015,1,NA,1
6126219,F,grumant,6161669_6126219,2016_6161669_6126219,2016,0,0,0
6126219,F,grumant,6161669_6126219,2017_6161669_6126219,2017,0,0,0
6126219,F,grumant,6161669_6126219,2018_g_6161669_6126219,2018_g,NA,NA,NA
6126233,F,grumant,6161674_6126233,2017_6161674_6126233,2017,NA,NA,NA
6191620,F,grumant,6161678_6191620,2018_g_6161678_6191620,2018_g,NA,NA,NA
6141775,F,grumant,6161686_6141775,2018_g_6161686_6141775,2018_g,NA,NA,NA
6177227,F,grumant,6162420_6177227,2010_6162420_6177227,2010,0,1,0
6177227,F,grumant,6162420_6177227,2011_6162420_6177227,2011,0,0,0
6177227,F,grumant,6162420_6177227,2012_6162420_6177227,2012,NA,NA,NA
680902,F,grumant,6177201_680902,2010_6177201_680902,2010,NA,NA,NA
6177225,F,grumant,6177201_6177225,2012_6177201_6177225,2012,NA,NA,NA
6177208,F,grumant,6177203_6177208,2010_6177203_6177208,2010,0,1,0
6177208,F,grumant,6177203_6177208,2011_6177203_6177208,2011,0,1,0
6177208,F,grumant,6177203_6177208,2012_6177203_6177208,2012,0,0,0
6177208,F,grumant,6177203_6177208,2013_6177203_6177208,2013,0,0,0
6177208,F,grumant,6177203_6177208,2014_6177203_6177208,2014,0,1,0
6177208,F,grumant,6177203_6177208,2015_6177203_6177208,2015,0,1,0
6177208,F,grumant,6177203_6177208,2016_6177203_6177208,2016,1,0,1
6141774,F,grumant,6177203_6141774,2017_6177203_6141774,2017,0,0,0
6141774,F,grumant,6177203_6141774,2018_g_6177203_6141774,2018_g,NA,NA,NA
6177247,F,grumant,6177204_6177247,2009_6177204_6177247,2009,1,NA,1
680914,F,grumant,6177204_680914,2010_6177204_680914,2010,1,NA,NA
