colony,pers_scores
Grumant,0.007106512
Grumant,-0.040466789
Grumant,0.031238805
Grumant,1.874887583
Grumant,0.168351395
Grumant,1.236648417
Grumant,1.656230632
Grumant,1.195372844
Grumant,2.319564427
Grumant,0.469624939
Grumant,-0.030199559
Grumant,-0.035841492
Grumant,1.23282592
Grumant,2.250164875
Grumant,2.455532876
Grumant,2.220430812
Grumant,1.749924563
Grumant,0.769447901
Grumant,2.179750404
Grumant,0.020327952
Grumant,1.07596219
Grumant,0.221514085
Grumant,0.082012087
Grumant,0.511031571
Grumant,0.127940704
Grumant,0.530921197
Grumant,1.761165337
Grumant,2.145695657
Grumant,2.220812909
Grumant,2.618194298
Grumant,-0.176217961
Grumant,0.092387679
Grumant,1.120805499
Grumant,-0.044268992
Grumant,1.82065594
Grumant,2.081314206
Grumant,0.015407548
Grumant,0.885330963
Grumant,2.240667731
Grumant,2.09039202
Grumant,1.899217158
Grumant,0.529103516
Grumant,-0.040251121
Grumant,0.533389295
Grumant,0.131212908
Grumant,0.032734666
Grumant,2.455532876
Grumant,0.07063578
Grumant,-0.010032672
Grumant,2.428889248
Grumant,2.080973252
Grumant,2.394906842
Grumant,2.029800417
Grumant,1.392766777
Grumant,2.345714969
Grumant,1.924625575
Grumant,1.576391889
Grumant,1.409893097
Grumant,2.248599414
Grumant,1.644903068
Grumant,2.12197104
Grumant,0.696605605
Grumant,1.621696313
Grumant,2.148325396
Grumant,2.102776511
Grumant,1.605185932
Grumant,-0.014993633
Pyramiden,-0.116145905
Pyramiden,0.594009733
Pyramiden,0.777788691
Pyramiden,0.640486804
Pyramiden,-1.070910047
Pyramiden,1.229642018
Pyramiden,1.341801311
Pyramiden,-1.027705931
Pyramiden,1.341801311
Pyramiden,1.265907372
Pyramiden,1.185673901
Pyramiden,-1.107049258
Pyramiden,1.265907372
Pyramiden,-0.30898917
Pyramiden,-1.189890475
Pyramiden,1.217380735
Pyramiden,1.156525545
Pyramiden,-0.815223899
Pyramiden,1.213935282
Pyramiden,1.109171917
Pyramiden,1.236015045
Pyramiden,1.227282054
Pyramiden,1.236015045
Grumant,2.27702308
Grumant,-0.009611698
Grumant,1.531039415
Pyramiden,0.180845024
Pyramiden,1.442347744
Pyramiden,0.89130859
Pyramiden,0.682842641
Pyramiden,-1.149092315
Pyramiden,-0.427732197
Pyramiden,0.464629514
Pyramiden,0.948004064
Pyramiden,0.86958493
Pyramiden,-0.815688447
Pyramiden,0.964952222
Pyramiden,1.437929665
Pyramiden,-0.454872937
Pyramiden,0.036728997
Pyramiden,-0.729450792
Pyramiden,0.086180792
Pyramiden,1.525603944
Pyramiden,0.770740848
Pyramiden,-0.809462896
Pyramiden,0.725159889
Pyramiden,0.838036852
Pyramiden,0.60057399
Pyramiden,1.483663693
Pyramiden,1.299507555
Pyramiden,-0.843055749
Pyramiden,-0.588478533
Pyramiden,1.065010711
Pyramiden,-0.718534553
Pyramiden,-0.90900046
Pyramiden,-0.840872501
Pyramiden,1.512504457
Pyramiden,1.508137962
Pyramiden,1.512504457
Pyramiden,-0.225588039
Pyramiden,1.493870147
Pyramiden,1.521237448
Pyramiden,-0.001055165
Pyramiden,-0.881972175
Pyramiden,-0.592845029
Pyramiden,-0.847422245
Pyramiden,1.521237448
Pyramiden,-0.001055165
Pyramiden,1.301300131
Pyramiden,1.521237448
Pyramiden,1.521237448
Pyramiden,-0.820054943
Pyramiden,1.521237448
Pyramiden,1.521237448
Pyramiden,-0.097586691
Pyramiden,1.43151938
Pyramiden,1.257174381
Pyramiden,1.247341032
Pyramiden,0.672713997
Pyramiden,-0.622870558
Pyramiden,-0.292372112
Pyramiden,0.89273466
Pyramiden,-0.050044893
Pyramiden,-0.747351836
Pyramiden,1.443180535
Pyramiden,-0.791617864
Pyramiden,-0.720359298
Pyramiden,0.345661576
Pyramiden,0.610193472
Pyramiden,1.516870953
Pyramiden,1.516870953
Pyramiden,1.516870953
Pyramiden,1.516870953
Pyramiden,1.380169076
Pyramiden,0.815094058
Pyramiden,-0.824421439
Pyramiden,1.516870953
Pyramiden,-0.04231492
Pyramiden,0.679465989
Pyramiden,-0.027323502
Pyramiden,-0.825538832
Pyramiden,1.512504457
Pyramiden,1.512504457
Pyramiden,1.508137962
Pyramiden,0.264237811
Pyramiden,1.786986752
Pyramiden,-0.608367146
Pyramiden,1.236015045
Pyramiden,1.315602337
Pyramiden,-1.571186675
Pyramiden,1.319968833
Pyramiden,1.319968833
Pyramiden,1.23164855
Pyramiden,-1.13882678
Pyramiden,1.324335328
Pyramiden,-1.068172719
Pyramiden,-1.083767005
Pyramiden,-0.718971581
Pyramiden,1.435122194
Pyramiden,1.534336935
Pyramiden,1.534336935
Pyramiden,-0.806955456
Pyramiden,1.534336935
Pyramiden,1.534336935
Pyramiden,0.974742171
Pyramiden,0.739273584
Pyramiden,0.352519336
Pyramiden,1.534336935
Pyramiden,-0.675900777
Pyramiden,-0.28390163
Pyramiden,1.065094527
Pyramiden,1.496053395
Pyramiden,0.037538868
Pyramiden,1.52997044
Pyramiden,1.478146834
Pyramiden,1.52997044
Pyramiden,0.546417182
Pyramiden,-0.584112037
Pyramiden,-0.679199386
Pyramiden,1.52997044
Pyramiden,1.498236642
Pyramiden,0.007677826
Pyramiden,1.24122736
Pyramiden,0.441195404
Pyramiden,1.296298524
Pyramiden,1.44932476
Pyramiden,-0.820054943
Pyramiden,1.512504457
Pyramiden,1.512504457
Pyramiden,1.34047509
Pyramiden,0.317579625
Pyramiden,-0.828787934
Pyramiden,0.919854061
Pyramiden,1.516870953
Pyramiden,1.512504457
Pyramiden,-0.22280979
Pyramiden,1.508137962
Pyramiden,0.329773695
Pyramiden,-0.868116761
Pyramiden,0.785837916
Pyramiden,1.166057528
Pyramiden,0.787747182
Pyramiden,0.677788666
Pyramiden,1.552556142
Pyramiden,-0.375318066
Pyramiden,1.522857313
Pyramiden,1.800086239
Pyramiden,0.680060747
Pyramiden,1.795719743
Pyramiden,0.54621436
Pyramiden,-0.47662245
Pyramiden,0.71422902
Pyramiden,1.660793913
Pyramiden,0.752943187
Pyramiden,1.791353247
Pyramiden,0.025853274
Pyramiden,-0.384051057
Pyramiden,1.791353247
Pyramiden,1.249114532
Pyramiden,1.231097516
Pyramiden,-0.762967234
Pyramiden,1.215197487
Pyramiden,-1.129125701
Pyramiden,1.786986752
Pyramiden,1.341801311
Pyramiden,0.957152716
Pyramiden,-0.540438391
Pyramiden,1.584974802
Pyramiden,-0.575379046
Pyramiden,1.534336935
Pyramiden,-0.470438417
Pyramiden,-0.579745542
Pyramiden,0.941525649
Pyramiden,1.225971188
Pyramiden,1.534336935
Pyramiden,-0.332154094
Pyramiden,1.428062725
Pyramiden,0.631527517
Pyramiden,1.110921966
Pyramiden,-0.083362817
Pyramiden,-0.082815133
Pyramiden,1.244438234
Pyramiden,1.297820221
Pyramiden,1.217354724
Pyramiden,1.476848183
Pyramiden,1.418490468
Pyramiden,1.40423917
Pyramiden,0.722024659
Pyramiden,-0.803024724
Pyramiden,-0.182088716
Pyramiden,0.548887138
Pyramiden,0.339464403
Pyramiden,-0.806955456
Pyramiden,-0.804819683
Pyramiden,0.738061922
Pyramiden,-0.551839653
Pyramiden,0.359671114
Pyramiden,-0.722391652
Pyramiden,0.961598207
Pyramiden,1.233911456
Pyramiden,0.049223359
Pyramiden,-0.932419694
Pyramiden,1.163492298
Pyramiden,1.180808282
Pyramiden,-0.545649588
Pyramiden,0.980336456
Pyramiden,1.467566949
Pyramiden,-0.62521835
Pyramiden,1.534336935
Pyramiden,1.405691235
Pyramiden,0.975090674
Pyramiden,1.612737588
Pyramiden,0.050070695
Pyramiden,0.871993423
Pyramiden,0.933792499
Grumant,1.6661128
Grumant,0.055706465
Grumant,0.75486907
Grumant,0.023294601
Grumant,2.257332405
Grumant,-0.071910247
Grumant,-0.025430299
Grumant,2.415204546
Grumant,-0.012811349
Grumant,-0.092273261
